"ID","Generator","Status","Result Status","Proxy Role","Keep SR2","Has SR2","Highlight","Aqu_Ca","Aqu_Cl","Aqu_Mg","Aqu_Na","Aqu_SO4","Inj_CaComp","Inj_Cl","Inj_MgComp","Inj_NaComp","Inj_SO4Comp","InjectorStw","Tres","Inj_Temp","Oil_Recovery","Execution Node","Dataset Path","Optimal","Comment"
"0","Reuse","Reused","NormalTermination","Ignore","Yes","True","False","0.461377","4.23265","0.0954536","2.98045","0.00637118","0.000810878244","0.0454122359","0.00434067064","0.0398002592","0.00223303518","265.6980986","186","200","54.070404","","Lowsal Base.dat","False",""
"1","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.45566215","5.8961378","0.089590616","0.7737366","0.0033236813","0.0081183216","0.028077796","0.013915811","0.055044188","0.0004298592","225.8438","195.3","240","58.107647","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00001.dat","False",""
"2","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.11881507","5.8961378","0.13080641","4.6251548","0.0023750672","0.0054324864","0.040413734","0.012405782","0.037691132","0.001479384","305.5532","204.6","240","54.625271","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00002.dat","False",""
"3","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","1.0147851","0.089590616","5.72556","0.00996398","0.0081183216","0.00340592","0.001835579","0.037691132","0.000167478","318.8381","213.9","200","62.981243","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00003.dat","False",""
"4","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.53987392","3.1067934","0.17202221","1.8741418","0.0014264531","0.0036419295","0.089757486","0.003345608","0.04636766","0.0012170028","265.6985","167.4","220","53.564529","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00004.dat","False",""
"5","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.28723861","4.5014656","0.089590616","5.72556","0.0042722954","0.0054324864","0.06508561","0.01542584","0.00298502","0.0009546216","199.274","148.8","150","54.252964","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00005.dat","False",""
"6","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.79250923","6.5934739","0.17202221","1.8741418","0.0014264531","6.08159E-05","0.10209342","0.010895753","0.04636766","0.0017417652","199.274","186","230","52.565189","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00006.dat","False",""
"7","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.62408569","0.317449","0.3368854","5.1753574","0.0014264531","0.0090136","0.040413734","0.004855637","0.04636766","0.0006922404","239.1287","204.6","200","61.825859","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00007.dat","False",""
"8","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.876721","3.1067934","0.29566961","4.6251548","0.000477839","6.08159E-05","0.06508561","0.001835579","0.081073772","0.0009546216","239.1287","158.1","170","67.519547","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00008.dat","False",""
"9","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.11881507","2.4094573","0.21323801","1.8741418","0.0023750672","0.0054324864","0.077421548","0.010895753","0.037691132","0.0017417652","265.6985","232.5","230","53.198746","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00009.dat","False",""
"10","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","2.4094573","0.25445381","5.1753574","0.0042722954","0.0054324864","0.015741858","0.003345608","0.0897503","0.0022665276","212.5589","223.2","240","52.669891","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00010.dat","False",""
"11","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.79250923","5.8961378","0.13080641","2.974547","0.0080667518","0.0090136","0.1267653","0.00032555","0.063720716","0.0022665276","318.8381","148.8","180","54.310635","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00011.dat","False",""
"12","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.11881507","1.7121212","0.25445381","4.0749522","0.00996398","0.0090136","0.089757486","0.01542584","0.063720716","0.0004298592","199.274","223.2","230","54.507961","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00012.dat","False",""
"13","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.28723861","1.0147851","0.00715902","1.3239392","0.0014264531","0.0018513727","0.089757486","0.006365666","0.011661548","0.00279129","305.5532","176.7","190","53.731606","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00013.dat","False",""
"14","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.79250923","5.1988017","0.13080641","5.72556","0.0071181377","0.0090136","0.06508561","0.012405782","0.00298502","0.000167478","278.9834","223.2","250","60.099541","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00014.dat","False",""
"15","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","5.8961378","0.048374818","1.3239392","0.0090153659","0.0063277648","0.00340592","0.01542584","0.0897503","0.0012170028","278.9834","167.4","190","55.600311","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00015.dat","False",""
"16","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","1.7121212","0.419317","2.974547","0.0061695236","0.0018513727","0.06508561","0.01542584","0.00298502","0.0009546216","318.8381","176.7","250","62.322174","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00016.dat","False",""
"17","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.11881507","5.8961378","0.3781012","4.6251548","0.0061695236","0.0072230432","0.077421548","0.01542584","0.020338076","0.001479384","305.5532","195.3","200","53.890572","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00017.dat","False",""
"18","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.45566215","2.4094573","0.048374818","0.223534","0.0071181377","0.0090136","0.089757486","0.001835579","0.011661548","0.0004298592","278.9834","204.6","160","59.858143","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00018.dat","False",""
"19","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.45566215","6.5934739","0.29566961","2.974547","0.0042722954","0.0027466511","0.11442936","0.01542584","0.029014604","0.0009546216","278.9834","232.5","220","57.692112","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00019.dat","False",""
"20","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","5.1988017","0.3781012","4.6251548","0.0090153659","0.0054324864","0.1267653","0.003345608","0.072397244","0.000167478","252.4136","139.5","160","56.704258","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00020.dat","False",""
"21","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","3.1067934","0.3781012","4.6251548","0.000477839","0.0081183216","0.040413734","0.003345608","0.063720716","0.0004298592","225.8438","204.6","200","66.46067","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00021.dat","False",""
